Model,Partition,Label,Mean Euclid,Std Euclid
KNN(k=1),5vs18,22,10.532859431746786,4.013013530561316
KNN(k=1),5vs18,6,8.033134566102628,2.676586602046332
KNN(k=1),5vs18,7,7.957757559070687,2.45733517767823
KNN(k=1),5vs18,15,8.860827361297057,2.830914735845859
KNN(k=1),5vs18,5,7.018729403923493,2.4155355662615063
KNN(k=1),5vs18,13,6.2238600423037465,2.498885959518695
KNN(k=1),5vs18,16,7.201809600440996,2.73363863336718
KNN(k=1),5vs18,8,6.436239182863864,1.21241919982448
KNN(k=1),5vs18,17,7.062829756700796,2.7763875305428245
KNN(k=1),5vs18,1,3.6810810810810817,0.3012028479082172
KNN(k=1),5vs18,4,5.301174318349759,2.21517726286824
KNN(k=1),5vs18,9,5.886611829223589,1.0226970617700146
KNN(k=1),5vs18,12,7.333745902458698,1.8656085769781843
KNN(k=1),5vs18,18,7.442569207453902,3.986896670273816
KNN(k=1),5vs18,19,8.70826162651704,4.089583469944627
KNN(k=1),5vs18,20,10.094595796554543,4.948502424443575
KNN(k=1),5vs18,3,5.656878023400562,3.8213838163171987
KNN(k=1),5vs18,10,6.17835245151498,2.7046234510345166
KNN(k=1),10vs13,6,7.721187054241812,3.238205239961073
KNN(k=1),10vs13,7,6.969217607701316,3.049572118575016
KNN(k=1),10vs13,14,6.581590781710025,2.6833892449707495
KNN(k=1),10vs13,15,7.308767681312042,2.8070295653249926
KNN(k=1),10vs13,16,7.058833871077499,2.1721080934700847
KNN(k=1),10vs13,8,5.0965290942442065,3.4114650656609444
KNN(k=1),10vs13,17,6.52376509717324,2.142151554215658
KNN(k=1),10vs13,1,4.582262584452621,0.45873431819860716
KNN(k=1),10vs13,4,4.236603669075277,2.058167684141108
KNN(k=1),10vs13,12,7.113194082789781,2.5714723293406108
KNN(k=1),10vs13,18,7.140827170494241,3.0418421289323088
KNN(k=1),10vs13,10,6.991736148360624,3.63595464386561
KNN(k=1),10vs13,11,8.140683304143575,2.9304514348318893
KNN(k=1),15vs8,6,6.567058585466524,2.7401343269345357
KNN(k=1),15vs8,13,4.652074194408696,2.380827760433716
KNN(k=1),15vs8,16,4.841918400001758,2.677562272149413
KNN(k=1),15vs8,8,5.770286115040724,2.3109640644815275
KNN(k=1),15vs8,1,4.899359836044659,0.6936411621417162
KNN(k=1),15vs8,12,6.316560344778375,1.9340436577887186
KNN(k=1),15vs8,19,7.396571066350509,3.6664190093766402
KNN(k=1),15vs8,3,4.371921158491722,3.144249574052988
KNN(k=5),5vs18,22,10.201493279110442,3.0713637714873476
KNN(k=5),5vs18,6,7.624379843562333,2.79126013824967
KNN(k=5),5vs18,7,7.472724591554069,2.832520930826586
KNN(k=5),5vs18,15,7.864868011361802,3.375118502961281
KNN(k=5),5vs18,5,6.529827586167746,2.5570655305164065
KNN(k=5),5vs18,13,5.2177066138815285,2.6093843872925566
KNN(k=5),5vs18,16,5.918980460790188,2.979799045425046
KNN(k=5),5vs18,8,6.023976779605194,1.4922248859098879
KNN(k=5),5vs18,17,5.674726121685678,2.826151271858213
KNN(k=5),5vs18,1,3.605904986499842,0.4587179975851747
KNN(k=5),5vs18,4,5.107442862955036,2.1806359961248942
KNN(k=5),5vs18,9,5.6453048507922885,0.9305639998609785
KNN(k=5),5vs18,12,6.599375101697147,1.7521661179630217
KNN(k=5),5vs18,18,6.3335294395244865,3.1939230746867446
KNN(k=5),5vs18,19,7.95442971442476,3.18033897979202
KNN(k=5),5vs18,20,9.481829823775804,3.674471972139232
KNN(k=5),5vs18,3,5.472143224981751,3.6456823609082654
KNN(k=5),5vs18,10,5.861310989417349,2.5003255947836087
KNN(k=5),10vs13,6,7.430264579678833,2.942576671075765
KNN(k=5),10vs13,7,6.512381320994022,2.7895253524802963
KNN(k=5),10vs13,14,5.742757776769421,2.596392119128629
KNN(k=5),10vs13,15,6.698493008727122,2.758781959220475
KNN(k=5),10vs13,16,5.916160710964141,2.3387856074723787
KNN(k=5),10vs13,8,4.360471264741686,3.146008809657583
KNN(k=5),10vs13,17,5.373967179224126,2.1186770476638435
KNN(k=5),10vs13,1,4.53365040436173,0.4790564602547444
KNN(k=5),10vs13,4,3.3485916087334093,1.9064369398141034
KNN(k=5),10vs13,12,5.925943860462849,2.2510982690004293
KNN(k=5),10vs13,18,5.976169610631266,2.4860971314752573
KNN(k=5),10vs13,10,6.509635033857863,3.433755936882886
KNN(k=5),10vs13,11,7.2235647731718995,2.511543849573516
KNN(k=5),15vs8,6,6.3659841975802065,2.476963443182359
KNN(k=5),15vs8,13,4.000891237796043,2.1403975648835156
KNN(k=5),15vs8,16,4.229574698537474,2.5954337302019517
KNN(k=5),15vs8,8,4.8673188585158496,2.1616801760644466
KNN(k=5),15vs8,1,4.728768736036524,0.6154236273361122
KNN(k=5),15vs8,12,5.792747731638466,1.6974856409941126
KNN(k=5),15vs8,19,6.754783207688388,2.9330283272553483
KNN(k=5),15vs8,3,4.389885244443196,2.965177990204446
RF,5vs18,22,9.44720509642226,3.1362110109257464
RF,5vs18,6,6.039804735834527,2.799491841963894
RF,5vs18,7,6.134725135921343,2.7783091446870425
RF,5vs18,15,6.153256464447302,2.6936350204569885
RF,5vs18,5,5.035960216859175,2.6447240734552007
RF,5vs18,13,4.030276327979967,2.278804140467231
RF,5vs18,16,4.347062688780211,2.4386943769125042
RF,5vs18,8,5.023155086464244,1.8380125268604748
RF,5vs18,17,3.819485344488085,2.044499506718043
RF,5vs18,1,4.031000344668295,1.2882122532378644
RF,5vs18,4,4.092839541425778,2.4061388849247534
RF,5vs18,9,4.726221745595423,1.5919181921128738
RF,5vs18,12,5.978940186496972,1.7711293980592342
RF,5vs18,18,6.116821360647938,2.000022592746451
RF,5vs18,19,7.526483241058132,2.1491497932816976
RF,5vs18,20,9.068565805633664,2.7742466366564758
RF,5vs18,3,5.204245070507106,3.476836833713147
RF,5vs18,10,5.475480908172819,2.666130143904255
RF,10vs13,6,6.194689945250994,2.4776879287909335
RF,10vs13,7,5.42232892426686,2.4181897751344033
RF,10vs13,14,5.013319138231841,1.9775219711997796
RF,10vs13,15,6.0264677679876515,2.418248650126413
RF,10vs13,16,5.241708520981152,2.418372743740714
RF,10vs13,8,3.470207705833218,2.5682089707215328
RF,10vs13,17,4.729326186910775,2.133770805763708
RF,10vs13,1,4.662682179341281,0.642723227700863
RF,10vs13,4,2.678586734848845,1.3615164078176645
RF,10vs13,12,5.178370007557332,2.0287797730490666
RF,10vs13,18,5.725605005601393,2.1881519842575714
RF,10vs13,10,6.102725602757237,3.319941076055112
RF,10vs13,11,6.86019070337043,2.4443492750567812
RF,15vs8,6,4.202534680797534,2.254413817846952
RF,15vs8,13,2.838919148814432,1.4466298220935307
RF,15vs8,16,3.104458411991752,1.852677981849457
RF,15vs8,8,3.7178739803293017,2.2927444464354267
RF,15vs8,1,4.500839008055217,0.7612542671434759
RF,15vs8,12,5.019584241397995,1.4662780726081812
RF,15vs8,19,7.4209804316485135,2.4138911544479735
RF,15vs8,3,5.660118697084859,3.0871473742025044
