Model,Partition,Mean Euclid,Std Euclid
KNN(k=1),10vs13,6.574246011290482,2.630811032422204
KNN(k=1),15vs8,5.601968712572871,2.443480228419907
KNN(k=1),5vs18,7.200628730055789,2.698355139843601
KNN(k=5),10vs13,5.811696240947567,2.442979704130762
KNN(k=5),15vs8,5.141244239029518,2.1981988125152867
KNN(k=5),5vs18,6.588330793432636,2.558428586576163
RF,10vs13,5.177400647918385,2.184420199185734
RF,15vs8,4.558163575014951,1.9468796170784377
RF,5vs18,5.680640516744624,2.3764536872824373
