Model,n_repeat,Mean_Euclidean_Dist,RMSE,MSE,MAE
cGAN (SYN)-KNN,8,5.782394248782287,4.383707192090982,19.216888745990197,3.6798353767736605
cGAN (SYN)-RF,8,8.39593292337947,6.591588117454647,43.4490339101693,5.487380790920418
WcGAN (SYN)-KNN,8,5.166447014585687,4.078722128496114,16.635974201483872,3.273698856591817
WcGAN (SYN)-RF,8,5.005684516611133,3.81915994863565,14.585982713262661,3.224395970519357
WcGAN-GP (SYN)-KNN,8,5.537398973556238,4.1853626703436,17.51726068230571,3.572419754787161
WcGAN-GP (SYN)-RF,8,4.7802320038771695,3.7421262940187336,14.00350920038638,3.1150269803003137
cGAN (SYN)-KNN,9,6.089601190489094,4.716845737237269,22.248633708893397,3.7698436423749824
cGAN (SYN)-RF,9,8.798031457917322,6.8689199957735045,47.18206190833708,5.747671964586306
WcGAN (SYN)-KNN,9,5.615184595921946,4.323784869916922,18.695115601322495,3.5351997520319602
WcGAN (SYN)-RF,9,4.739537457032544,3.6244195452442236,13.136417039948343,3.0920885728061718
WcGAN-GP (SYN)-KNN,9,5.754707176515191,4.482686012603138,20.094473887587824,3.6453967488634795
WcGAN-GP (SYN)-RF,9,5.340244481432837,4.0564629350544,16.454891543470158,3.3786242182118738
