Model,n_repeat,Mean_Euclidean_Dist,RMSE,MSE,MAE
cGAN (SYN)-RF,0,4.975633010502795,3.7612646858291523,14.147112036865472,3.1693623570739784
WcGAN (SYN)-KNN,0,5.469302533981131,4.28423460749322,18.354666172042585,3.5169307067089126
WcGAN (SYN)-RF,0,4.921728537181803,3.7752203535362296,14.252288717754215,3.1962589544014324
WcGAN-GP (SYN)-KNN,0,5.280843077966911,4.01287508999553,16.103166487906638,3.3164630114340823
WcGAN-GP (SYN)-RF,0,5.153899831172141,4.029491693771988,16.23680331017744,3.2865296528447447
cGAN (SYN)-KNN,1,5.398542221824285,4.29603785095227,18.455941216814598,3.4165139826422375
cGAN (SYN)-RF,1,4.917966087679113,3.896266299518794,15.180891076765876,3.077201935528309
WcGAN (SYN)-KNN,1,5.526997103842434,4.293588351695601,18.434900933816152,3.4367233778757402
WcGAN (SYN)-RF,1,4.923605756212274,3.72351949580448,13.86459743563605,3.1485398195343706
WcGAN-GP (SYN)-KNN,1,5.343836612007277,4.106557279721547,16.86381269163403,3.343158837305414
WcGAN-GP (SYN)-RF,1,4.940434419891193,3.841917400001731,14.76032930843606,3.196018115442899
cGAN (SYN)-KNN,2,5.1596382794862,3.9790804014893864,15.833080841516935,3.2218363410938142
cGAN (SYN)-RF,2,4.876353946938473,3.736152615776417,13.958836368372964,3.063033496349361
WcGAN (SYN)-KNN,2,5.109194138746829,4.001269163161207,16.010154916064785,3.297741424438628
WcGAN (SYN)-RF,2,4.614475198296357,3.6288540474932547,13.168581698008175,3.0214402259264372
WcGAN-GP (SYN)-KNN,2,5.064867208321967,3.8849649753253193,15.092952859504459,3.2042698718831786
WcGAN-GP (SYN)-RF,2,4.95426070808461,3.818125038616355,14.578078810509146,3.162640873398543
cGAN (SYN)-KNN,3,5.327769399649962,4.181528532849792,17.485180871036935,3.318300041328006
cGAN (SYN)-RF,3,5.11298527011625,4.018013520669631,16.14443265228396,3.2093584446893506
WcGAN (SYN)-KNN,3,5.89960693600585,4.576910502134989,20.94810974455356,3.7208864857418376
WcGAN (SYN)-RF,3,4.843499654921152,3.659983883272826,13.395482025816834,3.084412990770081
WcGAN-GP (SYN)-KNN,3,5.15989077650225,4.02663558829739,16.21379416094307,3.2044207191073153
WcGAN-GP (SYN)-RF,3,4.970346612612427,3.8364575917198542,14.718406853064904,3.2090476580796268
cGAN (SYN)-KNN,4,5.149684169331789,4.033616498741783,16.270062058921926,3.2586017357762773
cGAN (SYN)-RF,4,4.653824377615143,3.6780765356747827,13.52824700228141,2.969907487257198
WcGAN (SYN)-KNN,4,5.372112759439314,4.243927371940656,18.010919538307125,3.3357115305138443
WcGAN (SYN)-RF,4,4.835198603726417,3.6927034493442705,13.636058764799072,3.1043287711806036
WcGAN-GP (SYN)-KNN,4,5.61884895756716,4.437021776029723,19.687162240961957,3.541200578592093
WcGAN-GP (SYN)-RF,4,4.808023534335398,3.6501429734729203,13.323543726793732,3.048900247968039
cGAN (SYN)-KNN,5,5.2574437414516,4.060999350082503,16.491715721370515,3.3134295357487256
cGAN (SYN)-RF,5,4.9519976771215735,3.8947158396561816,15.168811471668757,3.161662742802037
WcGAN (SYN)-KNN,5,5.340158329992182,4.12577958347185,17.02205717139315,3.421692381870781
WcGAN (SYN)-RF,5,4.896166548667548,3.751188158153825,14.071412597873486,3.1236026656564277
WcGAN-GP (SYN)-KNN,5,5.0662255280979,3.9764763949892026,15.812364519906323,3.2160648849703817
WcGAN-GP (SYN)-RF,5,4.823361529852248,3.7109485445096833,13.771139099998537,3.033612129769942
cGAN (SYN)-KNN,6,5.764832626361589,4.534827719401255,20.564662444649986,3.5776911420305826
cGAN (SYN)-RF,6,4.925955793127502,3.8478714807770413,14.806114932577302,3.1614889378702307
WcGAN (SYN)-KNN,6,5.551875552159517,4.363520792562148,19.040313707122195,3.4021586995453927
WcGAN (SYN)-RF,6,4.846304272655118,3.7568002411086714,14.113548051594172,3.1054288813886206
WcGAN-GP (SYN)-KNN,6,5.212854653180035,4.102119061326832,16.827380793300925,3.326724755475961
WcGAN-GP (SYN)-RF,6,5.078149113624815,3.9361666064465517,15.493407553704964,3.308556881113101
cGAN (SYN)-KNN,7,5.16803834800251,4.161262512312448,17.31610569637691,3.206377600220416
cGAN (SYN)-RF,7,4.652613081451725,3.5486998921698767,12.593270924686493,2.9842126808100273
WcGAN (SYN)-KNN,7,5.396140013841007,4.171824263253048,17.404117683466833,3.439095605455297
WcGAN (SYN)-RF,7,4.908417109507682,3.7889471915944894,14.35612082069177,3.102225692244113
WcGAN-GP (SYN)-KNN,7,5.649585136616512,4.412768462909886,19.472525507252083,3.487959774073564
