AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.331,UJI,de:9f:db:1b:63:ed,-82.0,12.0,7.8,6.6
0.331,eduroam,dc:9f:db:1c:91:6a,-82.0,12.0,7.8,6.6
0.331,GEOTECWIFI03,f8:1a:67:37:05:b8,-63.0,12.0,7.8,6.6
0.331,eduroam,04:18:d6:82:26:e8,-65.0,12.0,7.8,6.6
0.331,UJI,de:9f:db:1b:91:6a,-82.0,12.0,7.8,6.6
0.331,UJI,06:18:d6:82:26:e8,-66.0,12.0,7.8,6.6
0.331,UJI,e4:8d:8c:47:46:4b,-95.0,12.0,7.8,6.6
0.331,,34:3a:20:a6:f5:31,-86.0,12.0,7.8,6.6
0.331,cuatroochenta,34:3a:20:a6:f5:33,-86.0,12.0,7.8,6.6
0.331,480Invitados,34:3a:20:a6:f5:32,-87.0,12.0,7.8,6.6
0.331,480Invitados,34:3a:20:a6:d6:92,-91.0,12.0,7.8,6.6
0.331,,34:3a:20:a6:d6:91,-90.0,12.0,7.8,6.6
0.331,cuatroochenta,34:3a:20:a6:d6:93,-91.0,12.0,7.8,6.6
0.331,UJI,de:9f:db:1c:91:6a,-82.0,12.0,7.8,6.6
0.331,eduroam,04:18:d6:81:26:e8,-62.0,12.0,7.8,6.6
0.331,eduroam,dc:9f:db:1b:91:6a,-82.0,12.0,7.8,6.6
1.99,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
1.99,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
1.99,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
1.99,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
1.99,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
1.99,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
1.99,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
1.99,480Invitados,34:3a:20:a6:f5:32,-90.0,12.0,7.8,6.6
1.99,UJI,de:9f:db:1c:91:6a,-79.0,12.0,7.8,6.6
1.99,eduroam,04:18:d6:81:26:e8,-51.0,12.0,7.8,6.6
2.346,eduroam,dc:9f:db:1c:63:ed,-78.0,12.0,7.8,6.6
2.346,eduroam,dc:9f:db:1c:91:6a,-77.0,12.0,7.8,6.6
2.346,UJI,de:9f:db:1b:63:ed,-83.0,12.0,7.8,6.6
2.346,eduroam,04:18:d6:82:26:e8,-60.0,12.0,7.8,6.6
2.346,UJI,06:18:d6:82:26:e8,-61.0,12.0,7.8,6.6
2.346,UJI,de:9f:db:1c:63:ed,-82.0,12.0,7.8,6.6
2.346,,34:3a:20:a6:f5:31,-88.0,12.0,7.8,6.6
