Model,Label,Learning Rate,N Critic,Clip Value,Gradient Penalty,Kullback-Leibler Divergence,Inception Score
WCGAN,GEOTECWIFI03,5e-05,3.0,0.005,,0.17197046599557708,1037.9298571467766
WCGAN,480Invitados,5e-05,3.0,0.005,,0.18461933957474908,1027.4141378906977
WCGAN,eduroam,5e-05,3.0,0.005,,0.1624463457175524,930.911004925264
WCGAN,wpen-uji,5e-05,3.0,0.005,,0.5084905075838809,1135.7379160749226
WCGAN,lt1iot,5e-05,3.0,0.005,,0.5686803589998676,1129.925842744646
WCGAN,cuatroochenta,5e-05,3.0,0.005,,0.16730912903969225,1091.1770715504315
WCGAN,UJI,5e-05,3.0,0.005,,0.14707945633853858,964.7354826277638
WCGAN,GEOTECWIFI03,5e-05,3.0,0.01,,0.0937802631605266,1079.9488837283925
WCGAN,480Invitados,5e-05,3.0,0.01,,0.3644960074539595,955.8356125018329
WCGAN,eduroam,5e-05,3.0,0.01,,0.15446181398436448,774.5615986893774
WCGAN,wpen-uji,5e-05,3.0,0.01,,0.3841419234046697,945.1795454316662
WCGAN,lt1iot,5e-05,3.0,0.01,,0.32551988817110245,961.0448669251521
WCGAN,cuatroochenta,5e-05,3.0,0.01,,0.26674623153555266,962.940223038197
WCGAN,UJI,5e-05,3.0,0.01,,0.047631297035455614,773.9452511321355
WCGAN,GEOTECWIFI03,5e-05,3.0,0.05,,0.5459544691114058,937.9034589882494
WCGAN,480Invitados,5e-05,3.0,0.05,,4.657823273379911,966.5777071450816
WCGAN,eduroam,5e-05,3.0,0.05,,0.00638246613716994,584.8259595702997
WCGAN,wpen-uji,5e-05,3.0,0.05,,4.143775667393639,1035.395223356752
WCGAN,lt1iot,5e-05,3.0,0.05,,4.6753348462454385,1068.3328485439283
WCGAN,cuatroochenta,5e-05,3.0,0.05,,4.0570374614171865,1012.5371296620503
WCGAN,UJI,5e-05,3.0,0.05,,0.7433527342941986,828.1909418833319
WCGAN,GEOTECWIFI03,5e-05,3.0,0.1,,0.006046996444837758,611.4842655724949
WCGAN,480Invitados,5e-05,3.0,0.1,,0.03959085929531626,445.75805286758793
WCGAN,eduroam,5e-05,3.0,0.1,,0.002093265041420903,347.6675411629176
WCGAN,wpen-uji,5e-05,3.0,0.1,,0.0854581151753859,506.2678286812695
WCGAN,lt1iot,5e-05,3.0,0.1,,0.2283567349508849,488.49378039004284
WCGAN,cuatroochenta,5e-05,3.0,0.1,,0.030498777415142037,456.8490524601126
WCGAN,UJI,5e-05,3.0,0.1,,0.0023856295411637876,415.6621170517699
WCGAN,GEOTECWIFI03,5e-05,4.0,0.001,,0.015920814425714483,1426.0206209415012
WCGAN,480Invitados,5e-05,4.0,0.001,,0.13691315940682203,421.42984517149245
WCGAN,eduroam,5e-05,4.0,0.001,,0.007014529378132739,1492.5467810328803
WCGAN,wpen-uji,5e-05,4.0,0.001,,0.25954447312815065,559.7163440549539
WCGAN,lt1iot,5e-05,4.0,0.001,,0.2806698199472838,553.3091437183514
WCGAN,cuatroochenta,5e-05,4.0,0.001,,0.09436609694418137,445.9548711070376
WCGAN,UJI,5e-05,4.0,0.001,,0.003476300447629862,1412.2923610604437
WCGAN,GEOTECWIFI03,5e-05,4.0,0.005,,0.0682528304993889,1097.4762405247243
WCGAN,480Invitados,5e-05,4.0,0.005,,0.14497879018291102,985.3386789644053
WCGAN,eduroam,5e-05,4.0,0.005,,0.040104048919283236,1041.4053871245055
WCGAN,wpen-uji,5e-05,4.0,0.005,,0.4997588898993915,1093.2609271985816
WCGAN,lt1iot,5e-05,4.0,0.005,,0.5868790813788047,1084.2086567932838
WCGAN,cuatroochenta,5e-05,4.0,0.005,,0.13533098008763333,1014.2434192507029
WCGAN,UJI,5e-05,4.0,0.005,,0.04032561862201779,1042.9697888611581
WCGAN,GEOTECWIFI03,5e-05,4.0,0.01,,0.18194120533538088,1280.6233331039612
WCGAN,480Invitados,5e-05,4.0,0.01,,0.28299389166888567,1064.2763521856791
WCGAN,eduroam,5e-05,4.0,0.01,,0.15072450419377292,1010.1439832779706
WCGAN,wpen-uji,5e-05,4.0,0.01,,0.6483936231849928,1104.4465461197951
WCGAN,lt1iot,5e-05,4.0,0.01,,0.6958926259454532,1083.0328173884204
WCGAN,cuatroochenta,5e-05,4.0,0.01,,0.27459546324501727,1076.092924880074
WCGAN,UJI,5e-05,4.0,0.01,,0.14503900337363348,1059.536295746966
WCGAN,GEOTECWIFI03,5e-05,4.0,0.05,,0.08903232303123117,1597.3460624981262
WCGAN,480Invitados,5e-05,4.0,0.05,,0.4779889890689143,1295.2025699671512
WCGAN,eduroam,5e-05,4.0,0.05,,0.07171317424249642,1349.112765971165
WCGAN,wpen-uji,5e-05,4.0,0.05,,0.5468992065249851,1412.4872901893673
WCGAN,lt1iot,5e-05,4.0,0.05,,0.39843784236338986,1758.2354374086215
WCGAN,cuatroochenta,5e-05,4.0,0.05,,0.4432759515106694,1418.6215668825976
WCGAN,UJI,5e-05,4.0,0.05,,0.08496802643153109,1142.6156896958369
WCGAN,GEOTECWIFI03,5e-05,4.0,0.1,,0.19129005107301858,996.4917981066571
WCGAN,480Invitados,5e-05,4.0,0.1,,0.6223862776364869,771.7484009306761
WCGAN,eduroam,5e-05,4.0,0.1,,0.01528627865038993,531.3540464767451
WCGAN,wpen-uji,5e-05,4.0,0.1,,0.3231017481209263,752.1149657693732
WCGAN,lt1iot,5e-05,4.0,0.1,,0.5820611439053344,1036.0429021555528
WCGAN,cuatroochenta,5e-05,4.0,0.1,,0.767105825859395,1274.49961910116
WCGAN,UJI,5e-05,4.0,0.1,,0.11423869144467694,1438.7827383499136
WCGAN,GEOTECWIFI03,5e-05,5.0,0.001,,0.011531776736249862,765.7009790114233
WCGAN,480Invitados,5e-05,5.0,0.001,,0.40693745480514776,1375.0651579660919
WCGAN,eduroam,5e-05,5.0,0.001,,0.004690482947161779,499.99803866647926
WCGAN,wpen-uji,5e-05,5.0,0.001,,0.23728328816706354,1152.1435657840025
WCGAN,lt1iot,5e-05,5.0,0.001,,0.4546862847437175,1131.6883582735975
WCGAN,cuatroochenta,5e-05,5.0,0.001,,0.20666795611502844,1496.9309410993453
WCGAN,UJI,5e-05,5.0,0.001,,0.005714200252570689,476.62525865478244
WCGAN,GEOTECWIFI03,5e-05,5.0,0.005,,0.028464259476452508,612.4394242001538
WCGAN,480Invitados,5e-05,5.0,0.005,,0.13042130484835596,390.9233934528823
WCGAN,eduroam,5e-05,5.0,0.005,,0.013265593091858794,463.8585980695895
WCGAN,wpen-uji,5e-05,5.0,0.005,,0.18241784910111075,526.8799364080201
WCGAN,lt1iot,5e-05,5.0,0.005,,0.2241750942690498,510.64212859278746
WCGAN,cuatroochenta,5e-05,5.0,0.005,,0.07610074715326408,421.2571527584524
WCGAN,UJI,5e-05,5.0,0.005,,0.008032930008443349,782.5516583960932
WCGAN,GEOTECWIFI03,5e-05,5.0,0.01,,0.029631576772381277,1151.0877159748204
WCGAN,480Invitados,5e-05,5.0,0.01,,0.13470441620006302,821.3902911694611
WCGAN,eduroam,5e-05,5.0,0.01,,0.01610706865187618,793.9963394116795
WCGAN,wpen-uji,5e-05,5.0,0.01,,0.4514685421376974,690.2026185514476
WCGAN,lt1iot,5e-05,5.0,0.01,,0.452889037835775,668.9113859912372
WCGAN,cuatroochenta,5e-05,5.0,0.01,,0.12106208598645134,739.7811266600306
WCGAN,UJI,5e-05,5.0,0.01,,0.01043783710848882,838.1472477491989
WCGAN,GEOTECWIFI03,5e-05,5.0,0.05,,0.06246954539770585,956.7525717535445
WCGAN,480Invitados,5e-05,5.0,0.05,,0.7221487694356539,871.3015718643991
WCGAN,eduroam,5e-05,5.0,0.05,,0.03815286766977066,765.0671694919743
WCGAN,wpen-uji,5e-05,5.0,0.05,,0.6081266908000404,992.3376535075384
WCGAN,lt1iot,5e-05,5.0,0.05,,0.5261546962204915,946.1095490278791
WCGAN,cuatroochenta,5e-05,5.0,0.05,,0.6122007541091069,881.2629907618117
WCGAN,UJI,5e-05,5.0,0.05,,0.03748932494559527,783.1806891754412
WCGAN,GEOTECWIFI03,5e-05,5.0,0.1,,0.11439987255764966,787.515261513912
WCGAN,480Invitados,5e-05,5.0,0.1,,0.2848782789233465,2315.825285574334
WCGAN,eduroam,5e-05,5.0,0.1,,0.004003585888275676,382.5364247425174
WCGAN,wpen-uji,5e-05,5.0,0.1,,0.2929191695079516,935.3599366459066
WCGAN,lt1iot,5e-05,5.0,0.1,,0.27579766527332317,896.204310123034
WCGAN,cuatroochenta,5e-05,5.0,0.1,,0.20175342906408578,1317.1430471428534
WCGAN,UJI,5e-05,5.0,0.1,,0.003561807503509152,436.27021508175943
WCGAN,GEOTECWIFI03,0.0001,1.0,0.001,,0.02594488637966294,598.675295106282
WCGAN,480Invitados,0.0001,1.0,0.001,,0.15139613656328638,405.72138440692055
WCGAN,eduroam,0.0001,1.0,0.001,,0.010933761422740162,348.6066879044601
WCGAN,wpen-uji,0.0001,1.0,0.001,,0.3875773672122972,514.1924492307061
WCGAN,lt1iot,0.0001,1.0,0.001,,0.4838981714903323,525.9335829059762
WCGAN,cuatroochenta,0.0001,1.0,0.001,,0.12687177252281104,438.0412190797847
WCGAN,UJI,0.0001,1.0,0.001,,0.003944201382730493,489.54909705885666
WCGAN,GEOTECWIFI03,0.0001,1.0,0.005,,0.014910742908742204,644.9779145617381
WCGAN,480Invitados,0.0001,1.0,0.005,,0.15626722644777308,448.05492964937054
WCGAN,eduroam,0.0001,1.0,0.005,,0.01301255673778278,409.38683212760475
WCGAN,wpen-uji,0.0001,1.0,0.005,,0.3659845569153404,546.8888451852072
WCGAN,lt1iot,0.0001,1.0,0.005,,0.4729143733128024,546.0630054212181
WCGAN,cuatroochenta,0.0001,1.0,0.005,,0.13908495537280297,524.9026226668068
WCGAN,UJI,0.0001,1.0,0.005,,0.004917805457782951,464.26537376819584
WCGAN,GEOTECWIFI03,0.0001,1.0,0.01,,0.01481836219861431,647.1585942504144
WCGAN,480Invitados,0.0001,1.0,0.01,,0.39781098791051966,380.68935404856774
WCGAN,eduroam,0.0001,1.0,0.01,,0.00902612657854112,773.4206126577201
WCGAN,wpen-uji,0.0001,1.0,0.01,,0.5400234992189872,489.154241109137
WCGAN,lt1iot,0.0001,1.0,0.01,,0.17981841667160833,585.2193267169848
WCGAN,cuatroochenta,0.0001,1.0,0.01,,0.21134000587983182,408.01463071223196
WCGAN,UJI,0.0001,1.0,0.01,,0.002572871082934274,578.9555036768114
WCGAN,GEOTECWIFI03,0.0001,1.0,0.05,,0.17786927851035036,870.0655141995086
WCGAN,480Invitados,0.0001,1.0,0.05,,0.20854933665603656,473.63821071498546
WCGAN,eduroam,0.0001,1.0,0.05,,0.0044884739579755285,385.9435908424651
WCGAN,wpen-uji,0.0001,1.0,0.05,,0.3401003373044455,490.6625191765214
WCGAN,lt1iot,0.0001,1.0,0.05,,0.3721270680025942,478.0896426518342
WCGAN,cuatroochenta,0.0001,1.0,0.05,,0.21886556607264068,486.64215743192403
WCGAN,UJI,0.0001,1.0,0.05,,0.006940328695402762,411.02800147429633
WCGAN,GEOTECWIFI03,0.0001,1.0,0.1,,0.013358310136129965,678.7043224157732
WCGAN,480Invitados,0.0001,1.0,0.1,,0.05147142072034644,371.65556754377315
WCGAN,eduroam,0.0001,1.0,0.1,,0.009033151210227804,588.497478284552
WCGAN,wpen-uji,0.0001,1.0,0.1,,0.1327868143538647,409.66448101571757
WCGAN,lt1iot,0.0001,1.0,0.1,,0.14054824683097314,455.5224980456236
WCGAN,cuatroochenta,0.0001,1.0,0.1,,0.08426000980764872,417.5960388018258
WCGAN,UJI,0.0001,1.0,0.1,,0.012133899698667305,654.2577765216595
WCGAN,GEOTECWIFI03,0.0001,2.0,0.001,,0.008424089467046661,635.4996167093336
WCGAN,480Invitados,0.0001,2.0,0.001,,0.16966412232225894,412.7849672747127
WCGAN,eduroam,0.0001,2.0,0.001,,0.0031889455792574184,366.92364545106193
WCGAN,wpen-uji,0.0001,2.0,0.001,,0.17284706739503772,568.6666054192381
WCGAN,lt1iot,0.0001,2.0,0.001,,0.41382602641007743,625.9536019260548
WCGAN,cuatroochenta,0.0001,2.0,0.001,,0.07676179405539615,458.55210289478083
WCGAN,UJI,0.0001,2.0,0.001,,0.0030315425840363227,364.4692176200573
WCGAN,GEOTECWIFI03,0.0001,2.0,0.005,,0.031157226980609215,667.652321387008
WCGAN,480Invitados,0.0001,2.0,0.005,,0.2697592097063492,420.0438148191684
WCGAN,eduroam,0.0001,2.0,0.005,,0.010901565098681358,633.3612183267577
WCGAN,wpen-uji,0.0001,2.0,0.005,,0.598049204879977,595.6445579965434
WCGAN,lt1iot,0.0001,2.0,0.005,,0.5034574917178463,555.6446486115171
WCGAN,cuatroochenta,0.0001,2.0,0.005,,0.20966815190537785,478.5639605487716
WCGAN,UJI,0.0001,2.0,0.005,,0.009199269750531957,627.8186637937802
WCGAN,GEOTECWIFI03,0.0001,2.0,0.01,,0.03713915415517771,605.4225416628819
WCGAN,480Invitados,0.0001,2.0,0.01,,0.12283445830289108,454.05178873672185
WCGAN,eduroam,0.0001,2.0,0.01,,0.009993981905462856,411.73196888356705
WCGAN,wpen-uji,0.0001,2.0,0.01,,0.5054499199100306,571.244985564681
WCGAN,lt1iot,0.0001,2.0,0.01,,0.21534088726731002,595.8507523486194
WCGAN,cuatroochenta,0.0001,2.0,0.01,,0.3325354064599769,566.3119593837653
WCGAN,UJI,0.0001,2.0,0.01,,0.0046064121757813485,599.6672533996488
WCGAN,GEOTECWIFI03,0.0001,2.0,0.05,,0.052383843554140164,933.2799262987411
WCGAN,480Invitados,0.0001,2.0,0.05,,0.5216811394549143,703.1392114378971
WCGAN,eduroam,0.0001,2.0,0.05,,0.0022223155947593137,408.1642840724999
WCGAN,wpen-uji,0.0001,2.0,0.05,,0.5470109896299967,603.6307082159134
WCGAN,lt1iot,0.0001,2.0,0.05,,0.4957695490531974,522.6226427467153
WCGAN,cuatroochenta,0.0001,2.0,0.05,,0.7530138846666676,1099.7921352389255
WCGAN,UJI,0.0001,2.0,0.05,,0.00448200210157525,429.7106199332196
WCGAN,GEOTECWIFI03,0.0001,2.0,0.1,,0.01653261439962493,764.7699729095989
WCGAN,480Invitados,0.0001,2.0,0.1,,0.03505001251126326,409.2729805624298
WCGAN,eduroam,0.0001,2.0,0.1,,0.0029231872078149855,410.40348313310045
WCGAN,wpen-uji,0.0001,2.0,0.1,,0.12227523891200423,678.2605205954018
WCGAN,lt1iot,0.0001,2.0,0.1,,0.10993691467949834,594.0804598218833
WCGAN,cuatroochenta,0.0001,2.0,0.1,,0.06294474858393824,421.41771997403066
WCGAN,UJI,0.0001,2.0,0.1,,0.0025609321726521393,411.5989291126324
WCGAN,GEOTECWIFI03,0.0001,3.0,0.001,,0.01533119026638012,748.024041392929
WCGAN,480Invitados,0.0001,3.0,0.001,,0.22686491126783864,405.56805990400863
WCGAN,eduroam,0.0001,3.0,0.001,,0.008693341511398348,437.93584333316426
WCGAN,wpen-uji,0.0001,3.0,0.001,,0.2123992912611665,525.0079100978962
WCGAN,lt1iot,0.0001,3.0,0.001,,0.33347654677846417,517.6902857879315
WCGAN,cuatroochenta,0.0001,3.0,0.001,,0.1311965937491105,447.65445783386394
WCGAN,UJI,0.0001,3.0,0.001,,0.0021191400575621506,414.42388449988385
WCGAN,GEOTECWIFI03,0.0001,3.0,0.005,,0.020945309072627705,672.4496198805541
WCGAN,480Invitados,0.0001,3.0,0.005,,0.9596017100210216,1174.9759029971733
WCGAN,eduroam,0.0001,3.0,0.005,,0.003710395503916792,309.70490684054323
WCGAN,wpen-uji,0.0001,3.0,0.005,,0.8014115697669154,1310.9281169205829
WCGAN,lt1iot,0.0001,3.0,0.005,,0.7168423912319423,1158.731488246931
WCGAN,cuatroochenta,0.0001,3.0,0.005,,0.704928536218969,934.1651537958097
WCGAN,UJI,0.0001,3.0,0.005,,0.02058775810643452,1124.4245762681219
WCGAN,GEOTECWIFI03,0.0001,3.0,0.01,,0.29245845674716964,937.6100086157002
WCGAN,480Invitados,0.0001,3.0,0.01,,0.9210746819552336,495.2831405037397
WCGAN,eduroam,0.0001,3.0,0.01,,0.05000237788284294,1759.2632642811925
WCGAN,wpen-uji,0.0001,3.0,0.01,,0.4622586623544362,600.3704203556028
WCGAN,lt1iot,0.0001,3.0,0.01,,0.5292912840467693,964.0603360510524
WCGAN,cuatroochenta,0.0001,3.0,0.01,,1.5169509293621075,564.3480209281533
WCGAN,UJI,0.0001,3.0,0.01,,0.020562516022761275,1463.3330937297385
WCGAN,GEOTECWIFI03,0.0001,3.0,0.05,,0.023876388214862574,742.5360478837009
WCGAN,480Invitados,0.0001,3.0,0.05,,1.0019339931044404,569.5885147588563
WCGAN,eduroam,0.0001,3.0,0.05,,0.002483740807616139,466.6946233706693
WCGAN,wpen-uji,0.0001,3.0,0.05,,1.3185254013297016,859.66690636853
WCGAN,lt1iot,0.0001,3.0,0.05,,0.2974672112347938,1077.1150592730958
WCGAN,cuatroochenta,0.0001,3.0,0.05,,0.4330174520335407,577.4912010896151
WCGAN,UJI,0.0001,3.0,0.05,,0.028501224788294748,512.9350482768227
WCGAN,GEOTECWIFI03,0.0001,3.0,0.1,,0.04597733655552383,1270.2726687691752
WCGAN,480Invitados,0.0001,3.0,0.1,,1.723442283509026,1548.8298916571857
WCGAN,eduroam,0.0001,3.0,0.1,,0.022562219385234842,988.4423648157785
WCGAN,wpen-uji,0.0001,3.0,0.1,,2.914175640881265,1583.4032995713708
WCGAN,lt1iot,0.0001,3.0,0.1,,3.1364971284207317,1804.746771676345
WCGAN,cuatroochenta,0.0001,3.0,0.1,,1.9053970944587355,1569.140687868987
WCGAN,UJI,0.0001,3.0,0.1,,0.02478607367440094,1006.928278343658
WCGAN,GEOTECWIFI03,0.0001,4.0,0.001,,0.006596901806394741,803.1571917809604
WCGAN,480Invitados,0.0001,4.0,0.001,,0.16100220025269518,506.0144243442463
WCGAN,eduroam,0.0001,4.0,0.001,,0.0026820114850786966,422.824781449895
WCGAN,wpen-uji,0.0001,4.0,0.001,,0.15190868201035126,602.0176778993967
WCGAN,lt1iot,0.0001,4.0,0.001,,0.36297698247198906,613.7635799982975
