Model,Partition,Mean Euclid,Std Euclid
KNN(k=1),10vs13,6.575952761314833,2.6311751734933018
KNN(k=1),15vs8,5.596653633586717,2.4412727989485385
KNN(k=1),5vs18,7.202252446012908,2.6999611573245352
KNN(k=5),10vs13,5.812491965375903,2.4450132838346197
KNN(k=5),15vs8,5.1324526778956,2.1937157232887343
KNN(k=5),5vs18,6.589397370523281,2.5731513523171556
RF,10vs13,5.214447091900778,2.1916316121963635
RF,15vs8,4.550715424124491,1.944416579864549
RF,5vs18,5.655306959606988,2.393141398045631
