AppTimestamp(s),GEOTECWIFI03,480Invitados,eduroam,wpen-uji,lt1iot,cuatroochenta,UJI,Latitude,Longitude,Label
30.0,-82.6,-95.0,-81.98666666666666,-95.0,-95.0,-95.0,-82.69999999999999,0.0,0.6,0.0
35.0,-79.5,-95.0,-81.00666666666666,-95.0,-95.0,-95.0,-81.42777777777776,0.0,0.6,0.0
40.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
45.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
50.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
55.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
60.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
65.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
70.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
75.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
80.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
85.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
90.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
95.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
100.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
105.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
110.0,-79.5,-95.0,-81.83333333333333,-95.0,-95.0,-95.0,-82.08333333333333,0.0,0.6,0.0
115.0,-79.5,-95.0,-81.83333333333331,-95.0,-95.0,-95.0,-82.08333333333331,0.0,0.6,0.0
120.0,-80.53333333333333,-95.0,-82.71111111111112,-95.0,-95.0,-95.0,-82.94444444444444,0.0,0.6,0.0
125.0,-83.63333333333334,-94.81666666666666,-84.19444444444444,-95.0,-95.0,-94.66666666666667,-84.91111111111111,0.0,0.6,0.0
130.0,-85.7,-94.18333333333334,-82.7,-95.0,-95.0,-93.66666666666667,-84.63333333333334,0.0,0.6,0.0
135.0,-88.8,-93.38333333333334,-82.48333333333333,-95.0,-95.0,-92.66666666666667,-84.91666666666667,0.0,0.6,0.0
140.0,-90.86666666666666,-92.85,-82.3388888888889,-95.0,-95.0,-92.0,-85.10555555555557,0.0,0.6,0.0
145.0,-93.96666666666667,-92.05,-82.12222222222223,-95.0,-95.0,-91.0,-85.3888888888889,0.0,0.6,0.0
150.0,-95.0,-91.51666666666667,-81.1,-95.0,-95.0,-90.33333333333333,-84.71666666666667,0.0,0.6,0.0
155.0,-95.0,-90.9,-79.4,-95.0,-95.0,-89.66666666666667,-83.03333333333333,0.0,0.6,0.0
160.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
165.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
170.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
175.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
180.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
185.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
190.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
195.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
200.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
205.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
210.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
215.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
220.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
225.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
230.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
235.0,-95.0,-91.0,-80.75,-95.0,-95.0,-90.0,-83.5,0.0,0.6,0.0
240.0,-95.0,-91.26666666666667,-81.7,-95.0,-95.0,-90.33333333333333,-84.26666666666667,0.0,0.6,0.0
245.0,-93.9,-91.8,-82.42222222222222,-95.0,-95.0,-91.0,-84.71666666666667,0.0,0.6,0.0
250.0,-91.73333333333333,-92.33333333333333,-82.1111111111111,-95.0,-95.0,-91.66666666666667,-84.43333333333334,0.0,0.6,0.0
255.0,-88.53333333333333,-93.13333333333334,-81.8611111111111,-95.0,-95.0,-92.66666666666667,-84.53333333333333,0.0,0.6,0.0
