Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
SinRPMAP-RF,1,13,8.872661742143338,6.273919285043999,39.36206319524701,6.1447117623721565
SinRPMAP-RF,1,14,5.651612368972012,4.008219969436721,16.065827323391304,3.9710481459796982
SinRPMAP-RF,1,15,8.186292213146045,5.797914250633996,33.615809657704766,5.6167672131147395
SinRPMAP-RF,1,16,7.366175653664401,5.212021970523824,27.165173021223044,4.463951378741482
SinRPMAP-KNN,2,0,5.520612460034455,4.595558796897033,21.11916065573771,3.648524590163934
SinRPMAP-KNN,2,1,5.270790794602628,3.7607550689355698,14.143278688524584,3.018032786885245
SinRPMAP-KNN,2,2,8.75013142758439,6.187277268718447,38.28240000000001,5.819999999999999
SinRPMAP-KNN,2,3,2.5933171489433926,2.5833362594730476,6.673626229508198,1.5239344262295078
SinRPMAP-KNN,2,4,8.257952982330169,6.121417386494089,37.47175081967213,5.446229508196721
SinRPMAP-KNN,2,5,4.720169488482378,3.3376638536557266,11.139999999999997,3.299999999999999
SinRPMAP-KNN,2,6,2.9680528767151397,2.7553941136090625,7.592196721311472,2.000327868852458
SinRPMAP-KNN,2,7,4.178781729651062,2.9586283928897044,8.753481967213116,2.8757377049180337
SinRPMAP-KNN,2,8,5.721130774211991,4.477412894686863,20.0472262295082,3.688852459016394
SinRPMAP-KNN,2,9,4.5694638635183455,3.2310988842807014,10.439999999999994,2.9999999999999996
SinRPMAP-KNN,2,10,3.610102279890457,2.791086515037868,7.79016393442623,2.2819672131147533
SinRPMAP-KNN,2,11,4.569463863518348,3.2310988842807036,10.440000000000008,3.0000000000000018
SinRPMAP-KNN,2,12,6.395037120971195,4.69756825825699,22.067147540983616,3.5718032786885248
SinRPMAP-KNN,2,13,1.6243152403397576,1.1485643212288994,1.3192000000000024,1.1400000000000008
SinRPMAP-KNN,2,14,4.75961428707546,3.444217772669692,11.862636065573774,3.3173770491803287
SinRPMAP-KNN,2,15,9.833023793113895,7.542317772213605,56.8865573770492,6.472786885245902
SinRPMAP-KNN,2,16,8.645135950822059,6.4447706594152,41.53506885245903,5.013442622950819
SinRPMAP-RF,2,0,5.1622518062973475,3.8477892161522806,14.805481851937781,3.4558517016147663
