AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.804,TP-LINK_7A3E,f4:f2:6d:e8:7a:3e,-78.0,11.0,7.8,9.0
1.804,eduroam,dc:9f:db:1c:91:6a,-74.0,11.0,7.8,9.0
1.804,UJI,de:9f:db:1b:63:ed,-78.0,11.0,7.8,9.0
1.804,GEOTECWIFI03,f8:1a:67:37:05:b8,-69.0,11.0,7.8,9.0
1.804,eduroam,04:18:d6:82:26:e8,-61.0,11.0,7.8,9.0
1.804,UJI,de:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
1.804,UJI,06:18:d6:82:26:e8,-60.0,11.0,7.8,9.0
1.804,,8a:de:4b:61:45:9d,-88.0,11.0,7.8,9.0
1.804,Arker Labs +,50:64:2b:d0:01:14,-87.0,11.0,7.8,9.0
1.804,UJI,de:9f:db:1c:63:ed,-72.0,11.0,7.8,9.0
1.804,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-79.0,11.0,7.8,9.0
1.804,,34:3a:20:a6:f5:31,-83.0,11.0,7.8,9.0
1.804,cuatroochenta,34:3a:20:a6:f5:33,-84.0,11.0,7.8,9.0
1.804,480Invitados,34:3a:20:a6:f5:32,-83.0,11.0,7.8,9.0
1.804,UJI,de:9f:db:1c:91:6a,-73.0,11.0,7.8,9.0
1.804,UJI,02:27:22:ad:62:85,-79.0,11.0,7.8,9.0
1.804,eduroam,04:18:d6:81:26:e8,-52.0,11.0,7.8,9.0
1.804,eduroam,dc:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
1.804,LucasEsGay,30:de:4b:61:45:9b,-87.0,11.0,7.8,9.0
3.811,TP-LINK_7A3E,f4:f2:6d:e8:7a:3e,-78.0,11.0,7.8,9.0
3.811,eduroam,dc:9f:db:1c:91:6a,-74.0,11.0,7.8,9.0
3.811,UJI,de:9f:db:1b:63:ed,-78.0,11.0,7.8,9.0
3.811,GEOTECWIFI03,f8:1a:67:37:05:b8,-69.0,11.0,7.8,9.0
3.811,eduroam,04:18:d6:82:26:e8,-61.0,11.0,7.8,9.0
3.811,UJI,de:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
3.811,UJI,06:18:d6:82:26:e8,-60.0,11.0,7.8,9.0
3.811,,8a:de:4b:61:45:9d,-88.0,11.0,7.8,9.0
3.811,Arker Labs +,50:64:2b:d0:01:14,-87.0,11.0,7.8,9.0
3.811,UJI,de:9f:db:1c:63:ed,-72.0,11.0,7.8,9.0
3.811,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-79.0,11.0,7.8,9.0
3.811,,34:3a:20:a6:f5:31,-83.0,11.0,7.8,9.0
3.811,cuatroochenta,34:3a:20:a6:f5:33,-84.0,11.0,7.8,9.0
3.811,480Invitados,34:3a:20:a6:f5:32,-83.0,11.0,7.8,9.0
3.811,UJI,de:9f:db:1c:91:6a,-73.0,11.0,7.8,9.0
3.811,UJI,02:27:22:ad:62:85,-79.0,11.0,7.8,9.0
3.811,eduroam,04:18:d6:81:26:e8,-52.0,11.0,7.8,9.0
3.811,eduroam,dc:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
3.811,LucasEsGay,30:de:4b:61:45:9b,-87.0,11.0,7.8,9.0
5.802,TP-LINK_7A3E,f4:f2:6d:e8:7a:3e,-78.0,11.0,7.8,9.0
5.802,eduroam,dc:9f:db:1c:91:6a,-74.0,11.0,7.8,9.0
5.802,UJI,de:9f:db:1b:63:ed,-78.0,11.0,7.8,9.0
5.802,GEOTECWIFI03,f8:1a:67:37:05:b8,-69.0,11.0,7.8,9.0
5.802,eduroam,04:18:d6:82:26:e8,-61.0,11.0,7.8,9.0
5.802,UJI,de:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
5.802,UJI,06:18:d6:82:26:e8,-60.0,11.0,7.8,9.0
5.802,,8a:de:4b:61:45:9d,-88.0,11.0,7.8,9.0
5.802,Arker Labs +,50:64:2b:d0:01:14,-87.0,11.0,7.8,9.0
5.802,UJI,de:9f:db:1c:63:ed,-72.0,11.0,7.8,9.0
5.802,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-79.0,11.0,7.8,9.0
5.802,,34:3a:20:a6:f5:31,-83.0,11.0,7.8,9.0
5.802,cuatroochenta,34:3a:20:a6:f5:33,-84.0,11.0,7.8,9.0
5.802,480Invitados,34:3a:20:a6:f5:32,-83.0,11.0,7.8,9.0
5.802,UJI,de:9f:db:1c:91:6a,-73.0,11.0,7.8,9.0
5.802,UJI,02:27:22:ad:62:85,-79.0,11.0,7.8,9.0
5.802,eduroam,04:18:d6:81:26:e8,-52.0,11.0,7.8,9.0
5.802,eduroam,dc:9f:db:1b:91:6a,-82.0,11.0,7.8,9.0
