AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.242,eduroam,dc:9f:db:1c:63:ed,-72.0,20.0,14.4,8.4
1.242,UJI,de:9f:db:1b:63:ed,-81.0,20.0,14.4,8.4
1.242,eduroam,dc:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
1.242,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,20.0,14.4,8.4
1.242,eduroam,04:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
1.242,UJI,06:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
1.242,UJI,de:9f:db:1c:63:ed,-70.0,20.0,14.4,8.4
1.242,UJI,de:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
1.242,eduroam,04:18:d6:81:26:e8,-58.0,20.0,14.4,8.4
3.24,eduroam,dc:9f:db:1c:63:ed,-72.0,20.0,14.4,8.4
3.24,UJI,de:9f:db:1b:63:ed,-81.0,20.0,14.4,8.4
3.24,eduroam,dc:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
3.24,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,20.0,14.4,8.4
3.24,eduroam,04:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
3.24,UJI,06:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
3.24,UJI,de:9f:db:1c:63:ed,-70.0,20.0,14.4,8.4
3.24,UJI,de:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
3.24,eduroam,04:18:d6:81:26:e8,-58.0,20.0,14.4,8.4
5.244,eduroam,dc:9f:db:1c:63:ed,-72.0,20.0,14.4,8.4
5.244,UJI,de:9f:db:1b:63:ed,-81.0,20.0,14.4,8.4
5.244,eduroam,dc:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
5.244,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,20.0,14.4,8.4
5.244,eduroam,04:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
5.244,UJI,06:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
5.244,UJI,de:9f:db:1c:63:ed,-70.0,20.0,14.4,8.4
5.244,UJI,de:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
5.244,eduroam,04:18:d6:81:26:e8,-58.0,20.0,14.4,8.4
7.241,eduroam,dc:9f:db:1c:63:ed,-72.0,20.0,14.4,8.4
7.241,UJI,de:9f:db:1b:63:ed,-81.0,20.0,14.4,8.4
7.241,eduroam,dc:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
7.241,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,20.0,14.4,8.4
7.241,eduroam,04:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
7.241,UJI,06:18:d6:82:26:e8,-64.0,20.0,14.4,8.4
7.241,UJI,de:9f:db:1c:63:ed,-70.0,20.0,14.4,8.4
7.241,UJI,de:9f:db:1c:91:6a,-82.0,20.0,14.4,8.4
7.241,eduroam,04:18:d6:81:26:e8,-58.0,20.0,14.4,8.4
7.329,TP-Link_CA63,9c:a2:f4:49:ca:63,-80.0,20.0,14.4,8.4
7.329,480Invitados,34:3a:20:a6:f5:22,-73.0,20.0,14.4,8.4
7.329,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,20.0,14.4,8.4
7.329,eduroam,00:27:22:ad:62:85,-81.0,20.0,14.4,8.4
7.329,Wi-Fi_Toni,78:8c:b5:ad:e6:ec,-84.0,20.0,14.4,8.4
7.329,cuatroochenta,34:3a:20:a6:f5:23,-74.0,20.0,14.4,8.4
7.329,WiFi dani,28:87:ba:a1:1a:b4,-87.0,20.0,14.4,8.4
7.329,eduroam,dc:9f:db:1c:91:6a,-76.0,20.0,14.4,8.4
7.329,UJI,de:9f:db:1b:63:ed,-86.0,20.0,14.4,8.4
7.329,GEOTECWIFI03,f8:1a:67:37:05:b8,-74.0,20.0,14.4,8.4
7.329,eduroam,04:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
7.329,UJI,de:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
7.329,UJI,06:18:d6:81:26:e8,-59.0,20.0,14.4,8.4
7.329,UJI,06:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
7.329,,9e:a2:f4:29:ca:63,-80.0,20.0,14.4,8.4
7.329,Tenda_07BC30,58:d9:d5:07:bc:42,-72.0,20.0,14.4,8.4
7.329,UJI,e4:8d:8c:47:46:4b,-78.0,20.0,14.4,8.4
7.329,480Invitados,34:3a:20:a6:d6:92,-90.0,20.0,14.4,8.4
7.329,,34:3a:20:a6:d6:91,-91.0,20.0,14.4,8.4
7.329,cuatroochenta,34:3a:20:a6:d6:93,-90.0,20.0,14.4,8.4
7.329,UJI,de:9f:db:1c:91:6a,-84.0,20.0,14.4,8.4
7.329,TP-Link_A900,54:af:97:e1:a9:00,-88.0,20.0,14.4,8.4
7.329,UJI,02:27:22:ad:62:85,-83.0,20.0,14.4,8.4
7.329,guifi.net/UJInuvolguifi4-AP,00:15:6d:d8:17:96,-82.0,20.0,14.4,8.4
7.329,eduroam,04:18:d6:81:26:e8,-63.0,20.0,14.4,8.4
7.329,eduroam,dc:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
9.248,TP-Link_CA63,9c:a2:f4:49:ca:63,-80.0,20.0,14.4,8.4
9.248,480Invitados,34:3a:20:a6:f5:22,-73.0,20.0,14.4,8.4
9.248,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,20.0,14.4,8.4
9.248,eduroam,00:27:22:ad:62:85,-81.0,20.0,14.4,8.4
9.248,Wi-Fi_Toni,78:8c:b5:ad:e6:ec,-84.0,20.0,14.4,8.4
9.248,cuatroochenta,34:3a:20:a6:f5:23,-74.0,20.0,14.4,8.4
9.248,WiFi dani,28:87:ba:a1:1a:b4,-87.0,20.0,14.4,8.4
9.248,eduroam,dc:9f:db:1c:91:6a,-76.0,20.0,14.4,8.4
9.248,UJI,de:9f:db:1b:63:ed,-86.0,20.0,14.4,8.4
9.248,GEOTECWIFI03,f8:1a:67:37:05:b8,-74.0,20.0,14.4,8.4
9.248,eduroam,04:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
9.248,UJI,de:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
9.248,UJI,06:18:d6:81:26:e8,-59.0,20.0,14.4,8.4
9.248,UJI,06:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
9.248,,9e:a2:f4:29:ca:63,-80.0,20.0,14.4,8.4
9.248,Tenda_07BC30,58:d9:d5:07:bc:42,-72.0,20.0,14.4,8.4
9.248,UJI,e4:8d:8c:47:46:4b,-78.0,20.0,14.4,8.4
9.248,480Invitados,34:3a:20:a6:d6:92,-90.0,20.0,14.4,8.4
9.248,,34:3a:20:a6:d6:91,-91.0,20.0,14.4,8.4
9.248,cuatroochenta,34:3a:20:a6:d6:93,-90.0,20.0,14.4,8.4
9.248,UJI,de:9f:db:1c:91:6a,-84.0,20.0,14.4,8.4
9.248,TP-Link_A900,54:af:97:e1:a9:00,-88.0,20.0,14.4,8.4
9.248,UJI,02:27:22:ad:62:85,-83.0,20.0,14.4,8.4
9.248,guifi.net/UJInuvolguifi4-AP,00:15:6d:d8:17:96,-82.0,20.0,14.4,8.4
9.248,eduroam,04:18:d6:81:26:e8,-63.0,20.0,14.4,8.4
9.248,eduroam,dc:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
11.241,TP-Link_CA63,9c:a2:f4:49:ca:63,-80.0,20.0,14.4,8.4
11.241,480Invitados,34:3a:20:a6:f5:22,-73.0,20.0,14.4,8.4
11.241,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,20.0,14.4,8.4
11.241,eduroam,00:27:22:ad:62:85,-81.0,20.0,14.4,8.4
11.241,Wi-Fi_Toni,78:8c:b5:ad:e6:ec,-84.0,20.0,14.4,8.4
11.241,cuatroochenta,34:3a:20:a6:f5:23,-74.0,20.0,14.4,8.4
11.241,WiFi dani,28:87:ba:a1:1a:b4,-87.0,20.0,14.4,8.4
11.241,eduroam,dc:9f:db:1c:91:6a,-76.0,20.0,14.4,8.4
11.241,UJI,de:9f:db:1b:63:ed,-86.0,20.0,14.4,8.4
11.241,GEOTECWIFI03,f8:1a:67:37:05:b8,-74.0,20.0,14.4,8.4
11.241,eduroam,04:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
11.241,UJI,de:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
11.241,UJI,06:18:d6:81:26:e8,-59.0,20.0,14.4,8.4
11.241,UJI,06:18:d6:82:26:e8,-72.0,20.0,14.4,8.4
11.241,,9e:a2:f4:29:ca:63,-80.0,20.0,14.4,8.4
11.241,Tenda_07BC30,58:d9:d5:07:bc:42,-72.0,20.0,14.4,8.4
11.241,UJI,e4:8d:8c:47:46:4b,-78.0,20.0,14.4,8.4
11.241,480Invitados,34:3a:20:a6:d6:92,-90.0,20.0,14.4,8.4
11.241,,34:3a:20:a6:d6:91,-91.0,20.0,14.4,8.4
11.241,cuatroochenta,34:3a:20:a6:d6:93,-90.0,20.0,14.4,8.4
11.241,UJI,de:9f:db:1c:91:6a,-84.0,20.0,14.4,8.4
11.241,TP-Link_A900,54:af:97:e1:a9:00,-88.0,20.0,14.4,8.4
11.241,UJI,02:27:22:ad:62:85,-83.0,20.0,14.4,8.4
11.241,guifi.net/UJInuvolguifi4-AP,00:15:6d:d8:17:96,-82.0,20.0,14.4,8.4
11.241,eduroam,04:18:d6:81:26:e8,-63.0,20.0,14.4,8.4
11.241,eduroam,dc:9f:db:1b:91:6a,-69.0,20.0,14.4,8.4
13.244,TP-Link_CA63,9c:a2:f4:49:ca:63,-80.0,20.0,14.4,8.4
13.244,480Invitados,34:3a:20:a6:f5:22,-73.0,20.0,14.4,8.4
13.244,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,20.0,14.4,8.4
13.244,eduroam,00:27:22:ad:62:85,-81.0,20.0,14.4,8.4
13.244,Wi-Fi_Toni,78:8c:b5:ad:e6:ec,-84.0,20.0,14.4,8.4
13.244,cuatroochenta,34:3a:20:a6:f5:23,-74.0,20.0,14.4,8.4
13.244,WiFi dani,28:87:ba:a1:1a:b4,-87.0,20.0,14.4,8.4
13.244,eduroam,dc:9f:db:1c:91:6a,-76.0,20.0,14.4,8.4
