AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.051,eduroam,04:18:d6:81:26:e8,-59.0,1.0,0.0,5.4
1.051,eduroam,04:18:d6:82:26:e8,-59.0,1.0,0.0,5.4
1.051,UJI,06:18:d6:82:26:e8,-61.0,1.0,0.0,5.4
1.051,UJI,06:18:d6:81:26:e8,-61.0,1.0,0.0,5.4
1.051,eduroam,dc:9f:db:1b:63:ed,-64.0,1.0,0.0,5.4
1.051,UJI,de:9f:db:1b:63:ed,-64.0,1.0,0.0,5.4
1.051,UJI,de:9f:db:1c:63:ed,-67.0,1.0,0.0,5.4
1.051,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,1.0,0.0,5.4
1.051,eduroam,dc:9f:db:1c:63:ed,-68.0,1.0,0.0,5.4
1.051,lt1iot,58:d9:d5:46:90:99,-73.0,1.0,0.0,5.4
1.051,eduroam,dc:9f:db:1b:91:6a,-77.0,1.0,0.0,5.4
1.051,UJI,de:9f:db:1b:91:6a,-77.0,1.0,0.0,5.4
1.051,lt1iot,58:d9:d5:ef:45:b1,-81.0,1.0,0.0,5.4
1.051,,58:d9:d5:82:52:e4,-83.0,1.0,0.0,5.4
1.051,UJI,02:27:22:ad:62:85,-84.0,1.0,0.0,5.4
1.051,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-90.0,1.0,0.0,5.4
1.051,Wifi_Ale,78:8c:b5:89:6f:f2,-91.0,1.0,0.0,5.4
3.048,eduroam,04:18:d6:81:26:e8,-59.0,1.0,0.0,5.4
3.048,eduroam,04:18:d6:82:26:e8,-59.0,1.0,0.0,5.4
3.048,UJI,06:18:d6:82:26:e8,-61.0,1.0,0.0,5.4
3.048,UJI,06:18:d6:81:26:e8,-61.0,1.0,0.0,5.4
3.048,eduroam,dc:9f:db:1b:63:ed,-64.0,1.0,0.0,5.4
3.048,UJI,de:9f:db:1b:63:ed,-64.0,1.0,0.0,5.4
3.048,UJI,de:9f:db:1c:63:ed,-67.0,1.0,0.0,5.4
3.048,GEOTECWIFI03,f8:1a:67:37:05:b8,-67.0,1.0,0.0,5.4
3.048,eduroam,dc:9f:db:1c:63:ed,-68.0,1.0,0.0,5.4
3.048,lt1iot,58:d9:d5:46:90:99,-73.0,1.0,0.0,5.4
3.048,eduroam,dc:9f:db:1b:91:6a,-77.0,1.0,0.0,5.4
3.048,UJI,de:9f:db:1b:91:6a,-77.0,1.0,0.0,5.4
3.048,lt1iot,58:d9:d5:ef:45:b1,-81.0,1.0,0.0,5.4
3.048,,58:d9:d5:82:52:e4,-83.0,1.0,0.0,5.4
3.048,UJI,02:27:22:ad:62:85,-84.0,1.0,0.0,5.4
3.048,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-90.0,1.0,0.0,5.4
3.048,Wifi_Ale,78:8c:b5:89:6f:f2,-91.0,1.0,0.0,5.4
