AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.739,GEOTECWIFI03,f8:1a:67:37:05:b8,-59.0,2.0,0.0,9.0
0.739,eduroam,04:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
0.739,UJI,06:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
0.739,eduroam,dc:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
0.739,UJI,de:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
0.739,eduroam,04:18:d6:82:26:e8,-68.0,2.0,0.0,9.0
0.739,UJI,06:18:d6:82:26:e8,-70.0,2.0,0.0,9.0
0.739,eduroam,dc:9f:db:1c:63:ed,-71.0,2.0,0.0,9.0
0.739,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-77.0,2.0,0.0,9.0
0.739,eduroam,dc:9f:db:1b:91:6a,-80.0,2.0,0.0,9.0
0.739,UJI,de:9f:db:1b:91:6a,-81.0,2.0,0.0,9.0
0.739,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,2.0,0.0,9.0
0.739,cuatroochenta,34:3a:20:a6:f5:23,-84.0,2.0,0.0,9.0
0.739,,58:d9:d5:82:52:e4,-85.0,2.0,0.0,9.0
0.739,lt1iot,58:d9:d5:ef:45:b1,-87.0,2.0,0.0,9.0
0.739,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-89.0,2.0,0.0,9.0
0.739,eduroam,78:8a:20:57:70:59,-90.0,2.0,0.0,9.0
2.739,GEOTECWIFI03,f8:1a:67:37:05:b8,-59.0,2.0,0.0,9.0
2.739,eduroam,04:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
2.739,UJI,06:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
2.739,eduroam,dc:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
2.739,UJI,de:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
2.739,eduroam,04:18:d6:82:26:e8,-68.0,2.0,0.0,9.0
2.739,UJI,06:18:d6:82:26:e8,-70.0,2.0,0.0,9.0
2.739,eduroam,dc:9f:db:1c:63:ed,-71.0,2.0,0.0,9.0
2.739,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-77.0,2.0,0.0,9.0
2.739,eduroam,dc:9f:db:1b:91:6a,-80.0,2.0,0.0,9.0
2.739,UJI,de:9f:db:1b:91:6a,-81.0,2.0,0.0,9.0
2.739,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,2.0,0.0,9.0
2.739,cuatroochenta,34:3a:20:a6:f5:23,-84.0,2.0,0.0,9.0
2.739,,58:d9:d5:82:52:e4,-85.0,2.0,0.0,9.0
2.739,lt1iot,58:d9:d5:ef:45:b1,-87.0,2.0,0.0,9.0
2.739,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-89.0,2.0,0.0,9.0
2.739,eduroam,78:8a:20:57:70:59,-90.0,2.0,0.0,9.0
4.743,GEOTECWIFI03,f8:1a:67:37:05:b8,-59.0,2.0,0.0,9.0
4.743,eduroam,04:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
4.743,UJI,06:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
4.743,eduroam,dc:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
4.743,UJI,de:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
4.743,eduroam,04:18:d6:82:26:e8,-68.0,2.0,0.0,9.0
4.743,UJI,06:18:d6:82:26:e8,-70.0,2.0,0.0,9.0
4.743,eduroam,dc:9f:db:1c:63:ed,-71.0,2.0,0.0,9.0
4.743,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-77.0,2.0,0.0,9.0
4.743,eduroam,dc:9f:db:1b:91:6a,-80.0,2.0,0.0,9.0
4.743,UJI,de:9f:db:1b:91:6a,-81.0,2.0,0.0,9.0
4.743,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,2.0,0.0,9.0
4.743,cuatroochenta,34:3a:20:a6:f5:23,-84.0,2.0,0.0,9.0
4.743,,58:d9:d5:82:52:e4,-85.0,2.0,0.0,9.0
4.743,lt1iot,58:d9:d5:ef:45:b1,-87.0,2.0,0.0,9.0
4.743,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-89.0,2.0,0.0,9.0
4.743,eduroam,78:8a:20:57:70:59,-90.0,2.0,0.0,9.0
6.742,GEOTECWIFI03,f8:1a:67:37:05:b8,-59.0,2.0,0.0,9.0
6.742,eduroam,04:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
6.742,UJI,06:18:d6:81:26:e8,-63.0,2.0,0.0,9.0
6.742,eduroam,dc:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
6.742,UJI,de:9f:db:1b:63:ed,-64.0,2.0,0.0,9.0
6.742,eduroam,04:18:d6:82:26:e8,-68.0,2.0,0.0,9.0
6.742,UJI,06:18:d6:82:26:e8,-70.0,2.0,0.0,9.0
6.742,eduroam,dc:9f:db:1c:63:ed,-71.0,2.0,0.0,9.0
6.742,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-77.0,2.0,0.0,9.0
6.742,eduroam,dc:9f:db:1b:91:6a,-80.0,2.0,0.0,9.0
6.742,UJI,de:9f:db:1b:91:6a,-81.0,2.0,0.0,9.0
