AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.893,cirtesu_5G,fc:34:97:0c:07:ac,-90.0,19.0,12.0,8.4
1.893,UJI,de:9f:db:1b:63:ed,-85.0,19.0,12.0,8.4
1.893,ESG,ca:eb:cb:12:ed:90,-72.0,19.0,12.0,8.4
1.893,UJI,de:9f:db:1b:91:6a,-78.0,19.0,12.0,8.4
1.893,,34:3a:20:a6:f5:31,-90.0,19.0,12.0,8.4
1.893,cuatroochenta,34:3a:20:a6:f5:33,-88.0,19.0,12.0,8.4
1.893,480Invitados,34:3a:20:a6:f5:32,-90.0,19.0,12.0,8.4
1.893,,34:3a:20:a6:d6:91,-91.0,19.0,12.0,8.4
1.893,cuatroochenta,34:3a:20:a6:d6:93,-90.0,19.0,12.0,8.4
1.893,eduroam,04:18:d6:81:26:e8,-67.0,19.0,12.0,8.4
1.893,eduroam,dc:9f:db:1b:91:6a,-79.0,19.0,12.0,8.4
3.897,cirtesu_5G,fc:34:97:0c:07:ac,-90.0,19.0,12.0,8.4
3.897,UJI,de:9f:db:1b:63:ed,-85.0,19.0,12.0,8.4
3.897,ESG,ca:eb:cb:12:ed:90,-72.0,19.0,12.0,8.4
3.897,UJI,de:9f:db:1b:91:6a,-78.0,19.0,12.0,8.4
3.897,,34:3a:20:a6:f5:31,-90.0,19.0,12.0,8.4
3.897,cuatroochenta,34:3a:20:a6:f5:33,-88.0,19.0,12.0,8.4
3.897,480Invitados,34:3a:20:a6:f5:32,-90.0,19.0,12.0,8.4
3.897,,34:3a:20:a6:d6:91,-91.0,19.0,12.0,8.4
3.897,cuatroochenta,34:3a:20:a6:d6:93,-90.0,19.0,12.0,8.4
3.897,eduroam,04:18:d6:81:26:e8,-67.0,19.0,12.0,8.4
3.897,eduroam,dc:9f:db:1b:91:6a,-79.0,19.0,12.0,8.4
5.056,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
5.056,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
5.056,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
5.056,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
5.056,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
5.056,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
5.903,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
5.903,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
5.903,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
5.903,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
5.903,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
5.903,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
7.904,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
7.904,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
7.904,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
7.904,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
7.904,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
7.904,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
9.904,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
9.904,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
9.904,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
9.904,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
9.904,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
9.904,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
11.902,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
11.902,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
11.902,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
11.902,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
11.902,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
11.902,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
13.901,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
13.901,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
13.901,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
13.901,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
13.901,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
13.901,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
15.9,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
15.9,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
15.9,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
15.9,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
15.9,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
15.9,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
17.902,TP-Link_5C90,50:91:e3:c7:5c:90,-84.0,19.0,12.0,8.4
17.902,UJI,de:9f:db:1b:63:ed,-86.0,19.0,12.0,8.4
17.902,GEOTECWIFI03,f8:1a:67:37:05:b8,-65.0,19.0,12.0,8.4
17.902,eduroam,04:18:d6:82:26:e8,-71.0,19.0,12.0,8.4
17.902,UJI,06:18:d6:82:26:e8,-70.0,19.0,12.0,8.4
17.902,eduroam,04:18:d6:81:26:e8,-61.0,19.0,12.0,8.4
