AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.501,eduroam,04:18:d6:81:26:e8,-51.0,6.0,3.0,0.6
1.501,eduroam,04:18:d6:82:26:e8,-52.0,6.0,3.0,0.6
1.501,UJI,06:18:d6:82:26:e8,-53.0,6.0,3.0,0.6
1.501,GEOTECWIFI03,f8:1a:67:37:05:b8,-62.0,6.0,3.0,0.6
1.501,UJI,de:9f:db:1c:63:ed,-67.0,6.0,3.0,0.6
1.501,eduroam,dc:9f:db:1c:63:ed,-68.0,6.0,3.0,0.6
1.501,eduroam,dc:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
1.501,UJI,de:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
1.501,UJI,de:9f:db:1c:91:6a,-76.0,6.0,3.0,0.6
1.501,UJI,de:9f:db:1b:91:6a,-78.0,6.0,3.0,0.6
1.501,eduroam,dc:9f:db:1b:91:6a,-79.0,6.0,3.0,0.6
1.501,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,6.0,3.0,0.6
1.501,eduroam,dc:9f:db:1c:91:6a,-81.0,6.0,3.0,0.6
1.501,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,6.0,3.0,0.6
1.501,,26:61:b4:34:33:71,-88.0,6.0,3.0,0.6
1.501,espaitec_freezone,1c:61:b4:34:33:71,-88.0,6.0,3.0,0.6
1.501,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-88.0,6.0,3.0,0.6
1.501,,34:3a:20:a6:d6:91,-92.0,6.0,3.0,0.6
3.502,eduroam,04:18:d6:81:26:e8,-51.0,6.0,3.0,0.6
3.502,eduroam,04:18:d6:82:26:e8,-52.0,6.0,3.0,0.6
3.502,UJI,06:18:d6:82:26:e8,-53.0,6.0,3.0,0.6
3.502,GEOTECWIFI03,f8:1a:67:37:05:b8,-62.0,6.0,3.0,0.6
3.502,UJI,de:9f:db:1c:63:ed,-67.0,6.0,3.0,0.6
3.502,eduroam,dc:9f:db:1c:63:ed,-68.0,6.0,3.0,0.6
3.502,eduroam,dc:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
3.502,UJI,de:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
3.502,UJI,de:9f:db:1c:91:6a,-76.0,6.0,3.0,0.6
3.502,UJI,de:9f:db:1b:91:6a,-78.0,6.0,3.0,0.6
3.502,eduroam,dc:9f:db:1b:91:6a,-79.0,6.0,3.0,0.6
3.502,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,6.0,3.0,0.6
3.502,eduroam,dc:9f:db:1c:91:6a,-81.0,6.0,3.0,0.6
3.502,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,6.0,3.0,0.6
3.502,,26:61:b4:34:33:71,-88.0,6.0,3.0,0.6
3.502,espaitec_freezone,1c:61:b4:34:33:71,-88.0,6.0,3.0,0.6
3.502,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-88.0,6.0,3.0,0.6
3.502,,34:3a:20:a6:d6:91,-92.0,6.0,3.0,0.6
5.502,eduroam,04:18:d6:81:26:e8,-51.0,6.0,3.0,0.6
5.502,eduroam,04:18:d6:82:26:e8,-52.0,6.0,3.0,0.6
5.502,UJI,06:18:d6:82:26:e8,-53.0,6.0,3.0,0.6
5.502,GEOTECWIFI03,f8:1a:67:37:05:b8,-62.0,6.0,3.0,0.6
5.502,UJI,de:9f:db:1c:63:ed,-67.0,6.0,3.0,0.6
5.502,eduroam,dc:9f:db:1c:63:ed,-68.0,6.0,3.0,0.6
5.502,eduroam,dc:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
5.502,UJI,de:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
5.502,UJI,de:9f:db:1c:91:6a,-76.0,6.0,3.0,0.6
5.502,UJI,de:9f:db:1b:91:6a,-78.0,6.0,3.0,0.6
5.502,eduroam,dc:9f:db:1b:91:6a,-79.0,6.0,3.0,0.6
5.502,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,6.0,3.0,0.6
5.502,eduroam,dc:9f:db:1c:91:6a,-81.0,6.0,3.0,0.6
5.502,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,6.0,3.0,0.6
5.502,,26:61:b4:34:33:71,-88.0,6.0,3.0,0.6
5.502,espaitec_freezone,1c:61:b4:34:33:71,-88.0,6.0,3.0,0.6
5.502,guifi.net-CS-UJI-Bibl.AP3-317,00:0c:42:3a:55:0e,-88.0,6.0,3.0,0.6
5.502,,34:3a:20:a6:d6:91,-92.0,6.0,3.0,0.6
7.504,eduroam,04:18:d6:81:26:e8,-51.0,6.0,3.0,0.6
7.504,eduroam,04:18:d6:82:26:e8,-52.0,6.0,3.0,0.6
7.504,UJI,06:18:d6:82:26:e8,-53.0,6.0,3.0,0.6
7.504,GEOTECWIFI03,f8:1a:67:37:05:b8,-62.0,6.0,3.0,0.6
7.504,UJI,de:9f:db:1c:63:ed,-67.0,6.0,3.0,0.6
7.504,eduroam,dc:9f:db:1c:63:ed,-68.0,6.0,3.0,0.6
7.504,eduroam,dc:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
7.504,UJI,de:9f:db:1b:63:ed,-69.0,6.0,3.0,0.6
7.504,UJI,de:9f:db:1c:91:6a,-76.0,6.0,3.0,0.6
7.504,UJI,de:9f:db:1b:91:6a,-78.0,6.0,3.0,0.6
7.504,eduroam,dc:9f:db:1b:91:6a,-79.0,6.0,3.0,0.6
7.504,wpen-uji,4c:5e:0c:d6:e1:a4,-81.0,6.0,3.0,0.6
7.504,eduroam,dc:9f:db:1c:91:6a,-81.0,6.0,3.0,0.6
7.504,guifi.net/CS-UJInuvolguifi4,02:ca:ff:ee:ba:be,-87.0,6.0,3.0,0.6
