AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
0.647,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-80.0,17.0,9.6,4.8
0.647,eduroam,dc:9f:db:1c:63:ed,-78.0,17.0,9.6,4.8
0.647,UJI,de:9f:db:1b:63:ed,-90.0,17.0,9.6,4.8
0.647,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,17.0,9.6,4.8
0.647,eduroam,04:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
0.647,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
0.647,UJI,06:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
0.647,UJI,de:9f:db:1c:63:ed,-79.0,17.0,9.6,4.8
0.647,480Invitados,34:3a:20:a6:d6:92,-90.0,17.0,9.6,4.8
0.647,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
0.647,eduroam,04:18:d6:81:26:e8,-62.0,17.0,9.6,4.8
0.647,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
2.636,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-80.0,17.0,9.6,4.8
2.636,eduroam,dc:9f:db:1c:63:ed,-78.0,17.0,9.6,4.8
2.636,UJI,de:9f:db:1b:63:ed,-90.0,17.0,9.6,4.8
2.636,GEOTECWIFI03,f8:1a:67:37:05:b8,-64.0,17.0,9.6,4.8
2.636,eduroam,04:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
2.636,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
2.636,UJI,06:18:d6:82:26:e8,-61.0,17.0,9.6,4.8
2.636,UJI,de:9f:db:1c:63:ed,-79.0,17.0,9.6,4.8
2.636,480Invitados,34:3a:20:a6:d6:92,-90.0,17.0,9.6,4.8
2.636,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
2.636,eduroam,04:18:d6:81:26:e8,-62.0,17.0,9.6,4.8
2.636,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
3.811,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
3.811,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
3.811,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
3.811,UJI,de:9f:db:1b:63:ed,-82.0,17.0,9.6,4.8
3.811,GEOTECWIFI03,f8:1a:67:37:05:b8,-66.0,17.0,9.6,4.8
3.811,eduroam,04:18:d6:82:26:e8,-64.0,17.0,9.6,4.8
3.811,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
3.811,UJI,06:18:d6:82:26:e8,-63.0,17.0,9.6,4.8
3.811,UJI,de:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
3.811,,34:3a:20:a6:f5:31,-90.0,17.0,9.6,4.8
3.811,cuatroochenta,34:3a:20:a6:f5:33,-91.0,17.0,9.6,4.8
3.811,480Invitados,34:3a:20:a6:f5:32,-89.0,17.0,9.6,4.8
3.811,480Invitados,34:3a:20:a6:d6:92,-88.0,17.0,9.6,4.8
3.811,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
3.811,cuatroochenta,34:3a:20:a6:d6:93,-91.0,17.0,9.6,4.8
3.811,UJI,de:9f:db:1c:91:6a,-81.0,17.0,9.6,4.8
3.811,eduroam,04:18:d6:81:26:e8,-65.0,17.0,9.6,4.8
3.811,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
4.638,DIRECT-60-HP DeskJet 2600 series,84:a9:3e:c5:9e:61,-88.0,17.0,9.6,4.8
4.638,eduroam,dc:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
4.638,eduroam,dc:9f:db:1c:91:6a,-80.0,17.0,9.6,4.8
4.638,UJI,de:9f:db:1b:63:ed,-82.0,17.0,9.6,4.8
4.638,GEOTECWIFI03,f8:1a:67:37:05:b8,-66.0,17.0,9.6,4.8
4.638,eduroam,04:18:d6:82:26:e8,-64.0,17.0,9.6,4.8
4.638,UJI,de:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
4.638,UJI,06:18:d6:82:26:e8,-63.0,17.0,9.6,4.8
4.638,UJI,de:9f:db:1c:63:ed,-75.0,17.0,9.6,4.8
4.638,,34:3a:20:a6:f5:31,-90.0,17.0,9.6,4.8
4.638,cuatroochenta,34:3a:20:a6:f5:33,-91.0,17.0,9.6,4.8
4.638,480Invitados,34:3a:20:a6:f5:32,-89.0,17.0,9.6,4.8
4.638,480Invitados,34:3a:20:a6:d6:92,-88.0,17.0,9.6,4.8
4.638,,34:3a:20:a6:d6:91,-91.0,17.0,9.6,4.8
4.638,cuatroochenta,34:3a:20:a6:d6:93,-91.0,17.0,9.6,4.8
4.638,UJI,de:9f:db:1c:91:6a,-81.0,17.0,9.6,4.8
4.638,eduroam,04:18:d6:81:26:e8,-65.0,17.0,9.6,4.8
4.638,eduroam,dc:9f:db:1b:91:6a,-80.0,17.0,9.6,4.8
